model,dataset,config,signal,bin_mid,depth_k,prob_depth_accepted,n_steps_in_bin
qwen,mtbench,static_7_1_8,t,0.5,6,0.0224390243902439,3075
qwen,mtbench,static_7_1_8,t,0.7000000000000001,0,1.0,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,1,0.5793696275071634,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,2,0.32521489971346706,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,3,0.1839541547277937,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,4,0.10315186246418338,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,5,0.061891117478510026,3490
qwen,mtbench,static_7_1_8,t,0.7000000000000001,6,0.03954154727793696,3490
qwen,mtbench,static_7_1_8,t,0.9,0,1.0,10976
qwen,mtbench,static_7_1_8,t,0.9,1,0.9386844023323615,10976
qwen,mtbench,static_7_1_8,t,0.9,2,0.6911443148688047,10976
qwen,mtbench,static_7_1_8,t,0.9,3,0.5353498542274052,10976
qwen,mtbench,static_7_1_8,t,0.9,4,0.36752915451895046,10976
qwen,mtbench,static_7_1_8,t,0.9,5,0.29336734693877553,10976
qwen,mtbench,static_7_1_8,t,0.9,6,0.2428935860058309,10976
