model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_7_4_8,2,0.25,9,0.2222222222222222,0.13990995921132382,0.3045344852331206,target_top1_prob
llama,livecodebench,static_7_4_8,3,0.35000000000000003,28,0.26530612244897955,0.20821619987713455,0.32239604502082453,target_top1_prob
llama,livecodebench,static_7_4_8,4,0.45,123,0.31591173054587685,0.2733636740477504,0.3584597870440033,target_top1_prob
llama,livecodebench,static_7_4_8,5,0.55,241,0.3307646710136337,0.2996109111891153,0.3619184308381521,target_top1_prob
llama,livecodebench,static_7_4_8,6,0.6500000000000001,426,0.3672032193158953,0.3424725612757521,0.39193387735603846,target_top1_prob
llama,livecodebench,static_7_4_8,7,0.75,577,0.4563010646199554,0.43135410197859053,0.48124802726132027,target_top1_prob
llama,livecodebench,static_7_4_8,8,0.8500000000000001,661,0.4739572076939701,0.4508106225047386,0.4971037928832016,target_top1_prob
llama,livecodebench,static_7_4_8,9,0.95,817,0.6118202482951564,0.5859668886707137,0.637673607919599,target_top1_prob
llama,math500,static_7_4_8,0,0.05,0,,,,target_top1_prob
llama,math500,static_7_4_8,1,0.15000000000000002,0,,,,target_top1_prob
llama,math500,static_7_4_8,2,0.25,0,,,,target_top1_prob
llama,math500,static_7_4_8,3,0.35000000000000003,2,,,,target_top1_prob
llama,math500,static_7_4_8,4,0.45,20,0.32142857142857145,0.2404932496228884,0.4023638932342545,target_top1_prob
llama,math500,static_7_4_8,5,0.55,94,0.4133738601823707,0.3694695272125939,0.4572781931521475,target_top1_prob
llama,math500,static_7_4_8,6,0.6500000000000001,254,0.4195725534308211,0.3883511686167575,0.45079393824488473,target_top1_prob
llama,math500,static_7_4_8,7,0.75,558,0.4544290834613415,0.4329045052069889,0.47595366171569403,target_top1_prob
llama,math500,static_7_4_8,8,0.8500000000000001,834,0.5198698184309695,0.5000004021396197,0.5397392347223192,target_top1_prob
llama,math500,static_7_4_8,9,0.95,1116,0.6582181259600614,0.6382695045555875,0.6781667473645352,target_top1_prob
