model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
llama,livecodebench,static_7_1_8,1,0.15000000000000002,231,0.19109461966604815,0.17517892369104704,0.20701031564104927,top1_prob
llama,livecodebench,static_7_1_8,2,0.25,191,0.19296933433059082,0.1740607022498598,0.21187796641132184,top1_prob
llama,livecodebench,static_7_1_8,3,0.35000000000000003,167,0.25662959794696316,0.228235538660366,0.2850236572335603,top1_prob
llama,livecodebench,static_7_1_8,4,0.45,191,0.2498130142109199,0.221696089923203,0.2779299384986368,top1_prob
llama,livecodebench,static_7_1_8,5,0.55,197,0.299492385786802,0.2687596253537025,0.33022514621990146,top1_prob
llama,livecodebench,static_7_1_8,6,0.6500000000000001,179,0.29449321628092573,0.2633439276951931,0.32564250486665836,top1_prob
llama,livecodebench,static_7_1_8,7,0.75,189,0.34089191232048377,0.3055276383006228,0.37625618634034474,top1_prob
llama,livecodebench,static_7_1_8,8,0.8500000000000001,256,0.42354910714285715,0.38637454011551514,0.46072367417019916,top1_prob
llama,livecodebench,static_7_1_8,9,0.95,1226,0.6901654625961314,0.670556163267015,0.7097747619252479,top1_prob
llama,math500,static_7_1_8,0,0.05,92,0.1599378881987577,0.14636073454446277,0.17351504185305264,top1_prob
llama,math500,static_7_1_8,1,0.15000000000000002,128,0.23772321428571422,0.20452258981410046,0.27092383875732795,top1_prob
llama,math500,static_7_1_8,2,0.25,148,0.24999999999999992,0.21470204048466893,0.28529795951533093,top1_prob
llama,math500,static_7_1_8,3,0.35000000000000003,196,0.2580174927113702,0.22707892154580706,0.28895606387693334,top1_prob
llama,math500,static_7_1_8,4,0.45,235,0.3082066869300912,0.2756997239489096,0.34071364991127273,top1_prob
llama,math500,static_7_1_8,5,0.55,239,0.3544530783024507,0.3185418005775529,0.39036435602734854,top1_prob
llama,math500,static_7_1_8,6,0.6500000000000001,210,0.3925170068027211,0.3479560855329297,0.4370779280725125,top1_prob
llama,math500,static_7_1_8,7,0.75,220,0.4396103896103897,0.39943946719553014,0.4797813120252492,top1_prob
llama,math500,static_7_1_8,8,0.8500000000000001,314,0.48453139217470426,0.4489755638429406,0.5200872205064679,top1_prob
llama,math500,static_7_1_8,9,0.95,1717,0.6455611947749398,0.6307658410749533,0.6603565484749263,top1_prob
llama,mtbench,static_7_1_8,0,0.05,46,0.20496894409937877,0.15523603005927455,0.254701858139483,top1_prob
llama,mtbench,static_7_1_8,1,0.15000000000000002,154,0.22727272727272727,0.19977592545715597,0.2547695290882986,top1_prob
llama,mtbench,static_7_1_8,2,0.25,237,0.2766726943942134,0.2456623962647502,0.30768299252367654,top1_prob
llama,mtbench,static_7_1_8,3,0.35000000000000003,257,0.2790439132851584,0.24931976618398716,0.3087680603863296,top1_prob
llama,mtbench,static_7_1_8,4,0.45,303,0.3455917020273455,0.3129214863624044,0.3782619176922866,top1_prob
llama,mtbench,static_7_1_8,5,0.55,276,0.40165631469979285,0.36316679946226715,0.44014582993731854,top1_prob
