model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,al_static_3_1_4,tput_static_7_1_8,al_static_7_1_8,tput_static_7_4_8,al_static_7_4_8,tput_static_6_10_60,al_static_6_10_60
qwen,livecodebench,7,0.8724608808755876,7133,static_6_10_60,155.31993664211709,3.4221343873517784,134.86851458890123,2.2186616399622996,120.08148141491095,2.369950738916256,135.28529575124617,2.688228438228438,155.31993664211709,3.4221343873517784
qwen,livecodebench,8,0.9504174828529358,7133,static_6_10_60,171.09603999175062,3.7697262479871174,151.1444937392735,2.486410496719775,133.6006136859069,2.6367668802365696,147.4513026163439,2.9299768518518516,171.09603999175062,3.7697262479871174
qwen,livecodebench,9,0.9904068052768707,7133,static_6_10_60,192.05919431073727,4.231603408210689,171.36216542930774,2.819002375296912,156.06989422843037,3.080224833929484,173.19741845358647,3.4415730337078654,192.05919431073727,4.231603408210689
qwen,math500,0,0.13313780222088098,6908,static_6_10_60,100.70132321350599,2.1905882352941175,77.791926640778,1.2671166827386693,66.83027402617445,1.2880724174653888,81.13728699322918,1.6061867935752527,100.70132321350599,2.1905882352941175
qwen,math500,1,0.30533468127250674,6908,static_6_10_60,116.47240943727525,2.5336617405582924,85.64499395451959,1.395031660983926,72.73694277481216,1.4019162884518406,91.13553446994601,1.8041112454655381,116.47240943727525,2.5336617405582924
qwen,math500,2,0.4081966444849968,6908,static_6_10_60,124.07323657445303,2.699004975124378,94.03755070512004,1.5317341329335332,79.48285927123561,1.5319356411506582,100.60233158820236,1.9915151515151515,124.07323657445303,2.699004975124378
qwen,math500,3,0.5058404460549355,6907,static_6_10_60,133.86949519185225,2.912106135986733,100.19863545961313,1.632089190499273,86.93925935187099,1.6756487025948104,109.68721008150268,2.171358629130967,133.86949519185225,2.912106135986733
qwen,math500,4,0.6094652056694031,6908,static_6_10_60,140.29029859980346,3.0517799352750807,110.0746939375378,1.7929557353641123,93.52277992956012,1.80253807106599,114.25142465042073,2.2617114303560273,140.29029859980346,3.0517799352750807
qwen,math500,5,0.7226178884506227,6908,static_6_10_60,148.85703422976647,3.238134887593672,116.79836659944549,1.9024745269286754,102.83327788352295,1.981986618630983,121.4685058586931,2.404580152671756,148.85703422976647,3.238134887593672
qwen,math500,6,0.8324024975299836,6907,static_6_10_60,157.3574226016738,3.4230465666929755,132.37547979928237,2.1562029131089906,112.85149951710953,2.1750756811301715,129.2432489708529,2.558488302339532,157.3574226016738,3.4230465666929755
qwen,math500,7,0.9203003406524659,6908,static_6_10_60,168.73905720214455,3.6706349206349205,143.60460349045695,2.339108910891089,131.28168743497852,2.5302951838425685,142.85430705854165,2.8279316440777844,168.73905720214455,3.6706349206349205
qwen,math500,8,0.9742979794740677,6908,static_6_10_60,178.10901380095427,3.874462596732588,161.4426793835876,2.629665071770335,148.52547300826944,2.8626482213438735,160.24957803662573,3.1722869405272838,178.10901380095427,3.874462596732588
qwen,math500,9,0.9959768742322922,6908,static_6_10_60,201.8025483721862,4.389875666074601,181.2591818170547,2.9524469067405357,165.08042595323013,3.1817248459958933,181.2863468562063,3.5887290167865706,201.8025483721862,4.389875666074601
qwen,mtbench,0,0.16329055652022362,7687,static_6_10_60,112.8479217903138,2.5313626532083635,83.67885856934076,1.3772747447847316,73.50753992890463,1.4449685534591195,81.56135928325779,1.640486208508649,112.8479217903138,2.5313626532083635
qwen,mtbench,1,0.41079020500183105,7686,static_6_10_60,153.78169583096258,3.4495738636363638,105.21613282898527,1.7317578772802653,95.18355072430143,1.8710629921259843,113.99309366916383,2.292802617230098,153.78169583096258,3.4495738636363638
qwen,mtbench,2,0.5815213769674301,7687,static_6_10_60,171.90924804106427,3.856204379562044,124.23597834180026,2.044806517311609,113.98305057231744,2.2406126482213438,131.97667494623784,2.6545157780195865,171.90924804106427,3.856204379562044
qwen,mtbench,3,0.7441502958536148,7686,static_6_10_60,183.2408030090284,4.1103896103896105,143.42311144615417,2.3606085526315788,131.27929820946358,2.580612244897959,155.27691228747344,3.1231656184486374,183.2408030090284,4.1103896103896105
qwen,mtbench,4,0.8788526654243469,7687,static_6_10_60,194.85236350231003,4.370855821125675,162.4443445902077,2.6736800317586344,156.17209910396596,3.0699404761904763,174.82974975975264,3.5164420485175203,194.85236350231003,4.370855821125675
qwen,mtbench,5,0.9550958275794983,7686,static_6_10_60,215.4058478365991,4.831903945111493,167.13161844494235,2.7508281192491717,190.88904268487798,3.7523860021208906,199.96046432478042,4.021909233176839,215.4058478365991,4.831903945111493
qwen,mtbench,6,0.9859678149223328,7687,static_6_10_60,229.7552703999911,5.153784860557769,178.4098558927568,2.9364572239971602,213.45485756333215,4.195971692977681,212.041647902138,4.264904386951631,229.7552703999911,5.153784860557769
qwen,mtbench,7,0.9965705871582031,7686,static_6_10_60,241.36610888376603,5.41423487544484,198.47529728940714,3.2667153818048957,239.15627399366343,4.701195219123506,231.36720465501918,4.6536094012311136,241.36610888376603,5.41423487544484
qwen,mtbench,8,0.9994763731956482,7687,static_7_4_8,259.0651273549313,5.210712183637434,204.93394886222276,3.3730186685452623,248.4086338938216,4.883072739632903,259.0651273549313,5.210712183637434,256.34777189806357,5.7502979737783075
qwen,mtbench,9,0.9999543130397797,7687,static_7_1_8,295.79087777932284,5.814485387547649,205.92281107829686,3.389294403892944,295.79087777932284,5.814485387547649,282.79511849761445,5.688005886681383,266.1019301283482,5.969099627064464
