model,dataset,decile,signal_mid,n_steps_in_decile,best_config,best_est_tput_tok_s,best_al,tput_static_3_1_4,tput_static_7_1_8,tput_static_7_4_8,tput_static_6_10_60,al_static_3_1_4,al_static_7_1_8,al_static_7_4_8,al_static_6_10_60
llama,mtbench,5,0.26782941818237305,1428,static_6_10_60,236.12930317266924,5.926829268292683,141.6780768545802,196.1925935728484,193.11889417666941,236.12930317266924,2.3230088495575223,3.854214123006834,3.8870967741935485,5.926829268292683
llama,mtbench,6,0.3406314253807068,1429,static_6_10_60,224.8156416743903,5.642857142857143,158.67487212791744,206.8337562855722,205.0583006495025,224.8156416743903,2.6016949152542375,4.0632603406326036,4.127413127413128,5.642857142857143
llama,mtbench,7,0.42861664295196533,1428,static_7_1_8,224.6147184988921,4.412568306010929,178.68718384780504,224.6147184988921,213.57431895502125,179.2833598162859,2.9298245614035086,4.412568306010929,4.298823529411765,4.5
llama,mtbench,8,0.5423416495323181,1429,static_7_4_8,252.09034687822808,5.074074074074074,186.7177792088603,248.8081952815077,252.09034687822808,243.47122938014135,3.0614973262032086,4.88785046728972,5.074074074074074,6.111111111111111
llama,mtbench,9,0.7536659240722656,1429,static_7_4_8,286.9868380046947,5.776470588235294,211.16071217194676,280.2087966431561,286.9868380046947,,3.4622731614135627,5.504716981132075,5.776470588235294,
qwen,livecodebench,0,0.009958288632333279,7133,static_6_10_60,119.05105383514791,2.6230290456431535,81.1472337135751,72.30093995880978,76.70123856550488,119.05105383514791,1.334916864608076,1.426944971537002,1.5241157556270097,2.6230290456431535
qwen,livecodebench,1,0.021597975865006447,7133,static_6_10_60,143.53432465415062,3.1624642578632702,88.21361783286865,77.40354463107307,87.95621185850536,143.53432465415062,1.4511627906976745,1.5276509386098427,1.7477611940298508,3.1624642578632702
qwen,livecodebench,2,0.03350452706217766,7133,static_6_10_60,160.54676240297968,3.5372960372960374,86.63621702637059,83.18652810356197,91.95842582918532,160.54676240297968,1.4252136752136753,1.6417849898580121,1.8272884283246977,3.5372960372960374
qwen,livecodebench,3,0.047947388142347336,7133,static_6_10_60,183.4963417454335,4.042939719240297,91.33377511112995,87.9625821826369,96.91915161339678,183.4963417454335,1.502491103202847,1.7360460929060137,1.9258620689655173,4.042939719240297
qwen,livecodebench,4,0.06680232286453247,7133,static_6_10_60,208.60499424584853,4.596153846153846,97.53263097100131,96.24835528865442,105.51056463319738,208.60499424584853,1.6044657097288677,1.8995756718528995,2.096580406654344,4.596153846153846
