model,dataset,config,bin_idx,bin_mid,n,mean_accept_rate,ci_lo,ci_hi,signal
qwen,mtbench,static_7_1_8,7,0.75,1772,0.3523863269912931,0.3409808838585707,0.3637917701240154,t
qwen,mtbench,static_7_1_8,8,0.8500000000000001,2795,0.4570406337848198,0.447338602056968,0.4667426655126716,t
qwen,mtbench,static_7_1_8,9,0.95,8181,0.6640648191803306,0.656627001016723,0.6715026373439381,t
llama,livecodebench,static_7_4_8,0,0.05,0,,,,t
llama,livecodebench,static_7_4_8,1,0.15000000000000002,61,0.15925058548009363,0.14599992356426617,0.1725012473959211,t
llama,livecodebench,static_7_4_8,2,0.25,223,0.18770019218449707,0.17536841752374,0.20003196684525415,t
llama,livecodebench,static_7_4_8,3,0.35000000000000003,263,0.22107550244432367,0.20602239737939498,0.23612860750925235,t
llama,livecodebench,static_7_4_8,4,0.45,201,0.2729211087420042,0.2510003877917246,0.2948418296922838,t
llama,livecodebench,static_7_4_8,5,0.55,232,0.30788177339901474,0.2862314867602403,0.3295320600377892,t
llama,livecodebench,static_7_4_8,6,0.6500000000000001,244,0.3407494145199063,0.3155619664749967,0.36593686256481595,t
llama,livecodebench,static_7_4_8,7,0.75,252,0.3701814058956916,0.344384481956245,0.3959783298351382,t
llama,livecodebench,static_7_4_8,8,0.8500000000000001,449,0.5093859370028635,0.4820138589199323,0.5367580150857947,t
llama,livecodebench,static_7_4_8,9,0.95,957,0.7520525451559934,0.7318388145051647,0.7722662758068221,t
llama,math500,static_7_4_8,0,0.05,0,,,,t
llama,math500,static_7_4_8,1,0.15000000000000002,2,,,,t
llama,math500,static_7_4_8,2,0.25,78,0.21428571428571422,0.18886615791362452,0.23970527065780392,t
llama,math500,static_7_4_8,3,0.35000000000000003,155,0.288479262672811,0.25898027080465813,0.31797825454096385,t
llama,math500,static_7_4_8,4,0.45,195,0.30989010989010984,0.28679302820223,0.33298719157798967,t
llama,math500,static_7_4_8,5,0.55,260,0.38131868131868124,0.35565857476615065,0.40697878787121183,t
llama,math500,static_7_4_8,6,0.6500000000000001,261,0.43513957307060747,0.40440825095508076,0.46587089518613417,t
llama,math500,static_7_4_8,7,0.75,264,0.47132034632034625,0.43833868980564583,0.5043020028350467,t
llama,math500,static_7_4_8,8,0.8500000000000001,452,0.5350821744627055,0.5098475547509447,0.5603167941744662,t
llama,math500,static_7_4_8,9,0.95,1211,0.721127757461366,0.7039154439614038,0.7383400709613283,t
llama,mtbench,static_7_4_8,0,0.05,0,,,,t
llama,mtbench,static_7_4_8,1,0.15000000000000002,0,,,,t
